Timestamp,Download_Mbps,Upload_Mbps,Ping(Idle)_Latency_ms,Ping(Idle)_Jitter_ms,Packet_Loss,Server_Name,Server_Location,Download_Latency_ms,Upload_Latency_ms,Result_URL
"09/26 10:40:23",62.292592,9.535056,38.469,4.037,0,"IPA CyberLab","Bunkyo",40.277,34.036,"https://www.speedtest.net/result/c/f7a3b6b6-f2fe-4e6e-a187-5a4df89c8200"
"09/26 10:50:33",63.148104,11.240296,38.491,9.446,6.557377049180328,"IPA CyberLab","Bunkyo",42.127,38.973,"https://www.speedtest.net/result/c/bb75d4ac-5e1b-4ef9-b7dc-8396875669f0"
"09/26 11:00:28",47.350584,10.013016,34.075,4.838,47.32142857142857,"IPA CyberLab","Bunkyo",37.189,36.554,"https://www.speedtest.net/result/c/62b63321-38aa-4e79-93ff-347d9ac6b619"
"09/26 11:10:23",57.0708,24.862264,41.242,13.937,0.5494505494505495,"IPA CyberLab","Bunkyo",47.362,38.434,"https://www.speedtest.net/result/c/6d574977-4324-4c03-b2b7-90b2e0d86290"
"09/26 11:20:20",78.827008,39.396528,30.729,5.531,0,"IPA CyberLab","Bunkyo",44.93,31.084,"https://www.speedtest.net/result/c/85a2e3b4-170b-43a2-aab6-a7a2586dcc0d"
"09/26 11:30:27",89.963392,56.587,36.768,1.216,21.666666666666668,"IPA CyberLab","Bunkyo",42.389,28.683,"https://www.speedtest.net/result/c/1a23795f-8c95-4ec7-9107-4621ec080d39"
"09/26 11:40:22",73.986384,38.751784,33.749,5.715,0,"IPA CyberLab","Bunkyo",44.582,36.216,"https://www.speedtest.net/result/c/25bb5a34-5dcb-473a-9622-9a3875264220"
"09/26 11:50:36",74.530976,36.123712,36.575,2.922,13,"IPA CyberLab","Bunkyo",52.094,35.814,"https://www.speedtest.net/result/c/6a1cf657-c924-4f03-83e5-43ea32ab2fe3"
"09/26 12:00:30",55.046144,31.690104,42.834,3.182,46.333333333333336,"IPA CyberLab","Bunkyo",40.254,40.766,"https://www.speedtest.net/result/c/d4c24917-e93e-4485-b2f0-0ce64d0f88c0"
"09/26 12:10:31",57.401864,35.612744,41.09,8.082,0.6666666666666666,"IPA CyberLab","Bunkyo",37.353,33.565,"https://www.speedtest.net/result/c/c128500d-7c80-4364-8a01-3a75b5856169"
